id,kind,chapter,section,deck,promptLine,answer,tags,choice_A,choice_B,choice_C,choice_D,difficulty
beginner1-001,vocab,1,"Beginner","Beginner 1","wǒ — 我","I",beginner,"I","you","my","name",1
beginner1-002,vocab,1,"Beginner","Beginner 1","nǐ — 你","you",beginner,"you","I","your","sorry",1
beginner1-003,vocab,1,"Beginner","Beginner 1","wǒ de — 我的","my",beginner,"my","your","name","I",1
beginner1-004,vocab,1,"Beginner","Beginner 1","nǐ de — 你的","your",beginner,"your","my","you","name",1
beginner1-005,vocab,1,"Beginner","Beginner 1","míngzi — 名字","name",beginner,"name","sorry","hello","thank you",1
beginner1-006,vocab,1,"Beginner","Beginner 1","nǐ hǎo — 你好","hello",beginner,"hello","sorry","thank you","goodbye",1
beginner1-007,vocab,1,"Beginner","Beginner 1","xièxie — 谢谢","thank you",beginner,"thank you","sorry","hello","please",1
beginner1-008,vocab,1,"Beginner","Beginner 1","duìbuqǐ — 对不起","sorry",beginner,"sorry","thank you","hello","name",1
beginner1-009,vocab,1,"Beginner","Beginner 1","I","wǒ — 我",beginner|reverse,"wǒ — 我","nǐ — 你","míngzi — 名字","xièxie — 谢谢",1
beginner1-010,vocab,1,"Beginner","Beginner 1","you","nǐ — 你",beginner|reverse,"nǐ — 你","wǒ — 我","nǐ de — 你的","duìbuqǐ — 对不起",1
beginner1-011,vocab,1,"Beginner","Beginner 1","my","wǒ de — 我的",beginner|reverse,"wǒ de — 我的","nǐ de — 你的","wǒ — 我","míngzi — 名字",1
beginner1-012,vocab,1,"Beginner","Beginner 1","your","nǐ de — 你的",beginner|reverse,"nǐ de — 你的","wǒ de — 我的","nǐ — 你","xièxie — 谢谢",1
beginner1-013,vocab,1,"Beginner","Beginner 1","name","míngzi — 名字",beginner|reverse,"míngzi — 名字","duìbuqǐ — 对不起","nǐ hǎo — 你好","xièxie — 谢谢",1
beginner1-014,vocab,1,"Beginner","Beginner 1","hello","nǐ hǎo — 你好",beginner|reverse,"nǐ hǎo — 你好","xièxie — 谢谢","duìbuqǐ — 对不起","míngzi — 名字",1
beginner1-015,vocab,1,"Beginner","Beginner 1","thank you","xièxie — 谢谢",beginner|reverse,"xièxie — 谢谢","nǐ hǎo — 你好","duìbuqǐ — 对不起","nǐ de — 你的",1
beginner1-016,vocab,1,"Beginner","Beginner 1","sorry","duìbuqǐ — 对不起",beginner|reverse,"duìbuqǐ — 对不起","xièxie — 谢谢","nǐ hǎo — 你好","míngzi — 名字",1
beginner1-017,vocab,1,"Beginner","Beginner 1","de — 的","possessive particle (’s / of)",beginner,"possessive particle (’s / of)","plural marker","question word","verb marker",1
beginner1-018,vocab,1,"Beginner","Beginner 1","men — 们","plural marker (people)",beginner,"plural marker (people)","past tense","location word","question marker",1
beginner2-001,vocab,1,"Beginner","Beginner 2","xiǎng — 想","want",beginner,"want","like","know","need",1
beginner2-002,vocab,1,"Beginner","Beginner 2","xǐhuan — 喜欢","like",beginner,"like","want","know","use",1
beginner2-003,vocab,1,"Beginner","Beginner 2","zhīdào — 知道","know",beginner,"know","think","see","say",1
beginner2-004,vocab,1,"Beginner","Beginner 2","zhè — 这","this",beginner,"this","that","it","here",1
beginner2-005,vocab,1,"Beginner","Beginner 2","tā — 它","it (objects / animals)",beginner,"it (objects / animals)","he","she","they",1
beginner2-006,vocab,1,"Beginner","Beginner 2","shì — 是","is / are / am",beginner,"is / are / am","is","have","do",1
beginner2-007,vocab,1,"Beginner","Beginner 2","bù — 不","not / no",beginner,"not / no","yes","don’t","none",1
beginner2-008,vocab,1,"Beginner","Beginner 2","qǐng — 请","please",beginner,"please","thanks","sorry","welcome",1
beginner2-009,vocab,1,"Beginner","Beginner 2","want","xiǎng — 想",beginner|reverse,"xiǎng — 想","xǐhuan — 喜欢","zhīdào — 知道","qǐng — 请",1
beginner2-010,vocab,1,"Beginner","Beginner 2","like","xǐhuan — 喜欢",beginner|reverse,"xǐhuan — 喜欢","xiǎng — 想","zhè — 这","shì — 是",1
beginner2-011,vocab,1,"Beginner","Beginner 2","know","zhīdào — 知道",beginner|reverse,"zhīdào — 知道","xǐhuan — 喜欢","bù — 不","tā — 它",1
beginner2-012,vocab,1,"Beginner","Beginner 2","this","zhè — 这",beginner|reverse,"zhè — 这","tā — 它","shì — 是","bù — 不",1
beginner2-013,vocab,1,"Beginner","Beginner 2","it","tā — 它",beginner|reverse,"tā — 它","zhè — 这","bù — 不","qǐng — 请",1
beginner2-015,vocab,1,"Beginner","Beginner 2","no","bù — 不",beginner|reverse,"bù — 不","shì — 是","zhè — 这","xǐhuan — 喜欢",1
beginner2-016,vocab,1,"Beginner","Beginner 2","please","qǐng — 请",beginner|reverse,"qǐng — 请","xièxie — 谢谢","duìbuqǐ — 对不起","shì — 是",1
beginner3-001,vocab,1,"Beginner","Beginner 3","shéi — 谁","who",beginner,"who","what","where","how",1
beginner3-002,vocab,1,"Beginner","Beginner 3","shénme — 什么","what",beginner,"what","who","where","how",1
beginner3-003,vocab,1,"Beginner","Beginner 3","zài nǎlǐ — 在哪里","where",beginner,"where","who","what","how",1
beginner3-004,vocab,1,"Beginner","Beginner 3","zěnme — 怎么","how",beginner,"how","why","where","what",1
beginner3-005,vocab,1,"Beginner","Beginner 3","shì — 是","is / are / am",beginner,"is / are / am","have","do","go",1
beginner3-008,vocab,1,"Beginner","Beginner 3","bù — 不","not / no",beginner,"not / no","all","yes","none",1
beginner3-009,vocab,1,"Beginner","Beginner 3","who","shéi — 谁",beginner|reverse,"shéi — 谁","shénme — 什么","zěnme — 怎么","zài nǎlǐ — 在哪里",1
beginner3-010,vocab,1,"Beginner","Beginner 3","what","shénme — 什么",beginner|reverse,"shénme — 什么","shéi — 谁","zěnme — 怎么","zài nǎlǐ — 在哪里",1
beginner3-011,vocab,1,"Beginner","Beginner 3","where","zài nǎlǐ — 在哪里",beginner|reverse,"zài nǎlǐ — 在哪里","shéi — 谁","shénme — 什么","zěnme — 怎么",1
beginner3-012,vocab,1,"Beginner","Beginner 3","how","zěnme — 怎么",beginner|reverse,"zěnme — 怎么","shénme — 什么","shéi — 谁","zài nǎlǐ — 在哪里",1
beginner3-013,vocab,1,"Beginner","Beginner 3","is","shì — 是",beginner|reverse,"shì — 是","bù — 不","yǒu — 有","zài — 在",1
beginner3-014,vocab,1,"Beginner","Beginner 3","are","shì — 是",beginner|reverse,"shì — 是","bù — 不","yǒu — 有","zěnme — 怎么",1
beginner3-015,vocab,1,"Beginner","Beginner 3","am","shì — 是",beginner|reverse,"shì — 是","bù — 不","zài — 在","yào — 要",1
beginner3-016,vocab,1,"Beginner","Beginner 3","not","bù — 不",beginner|reverse,"bù — 不","shì — 是","méiyǒu — 没有","zài — 在",1
beginnerPhrases-001,phrase,1,"Beginner","Beginner Phrases","xièxie — 谢谢","Thank you",beginner|phrase,"Thank you","Sorry","Hello","Please",1
beginnerPhrases-002,phrase,1,"Beginner","Beginner Phrases","wǒ bù zhīdào — 我不知道","I don’t know",beginner|phrase,"I don’t know","I don’t like it","I don’t want this","I’m not here",1
beginnerPhrases-003,phrase,1,"Beginner","Beginner Phrases","wǒ yào zhège — 我要这个","I want this",beginner|phrase,"I want this","I like this","I need this","I have this",1
beginnerPhrases-004,phrase,1,"Beginner","Beginner Phrases","wǒ xǐhuan tā — 我喜欢它","I like it",beginner|phrase,"I like it","I want it","I see it","I know it",1
beginnerPhrases-005,phrase,1,"Beginner","Beginner Phrases","wǒ hěn hǎo — 我很好","I’m very well / I’m fine",beginner|phrase,"I’m very well / I’m fine","I like it","I’m sorry","I know",1
beginnerPhrases-006,phrase,1,"Beginner","Beginner Phrases","bù, xièxie — 不，谢谢","No thank you",beginner|phrase,"No thank you","Not now","No, I don’t know","Sorry",1
beginnerPhrases-007,phrase,1,"Beginner","Beginner Phrases","shéi shì zhège — 谁是这个","Who is this",beginner|phrase,"Who is this","What is this","Where is this","Who are you",1
beginnerPhrases-008,phrase,1,"Beginner","Beginner Phrases","zài nǎlǐ shì tā — 在哪里是它","Where is it",beginner|phrase,"Where is it","Where are you","What is it","How is it",1
beginnerPhrases-009,phrase,1,"Beginner","Beginner Phrases","duìbuqǐ — 对不起","I’m sorry",beginner|phrase,"I’m sorry","Thank you","Excuse me","Goodbye",1
beginnerPhrases-010,phrase,1,"Beginner","Beginner Phrases","nǐ hǎo ma — 你好吗","How are you?",beginner|phrase,"How are you?","Who are you?","Where are you?","Are you okay?",1
beginnerPhrases-011,phrase,1,"Beginner","Beginner Phrases","nǐ de míngzi shì shénme — 你的名字是什么","What is your name?",beginner|phrase,"What is your name?","My name is…","Who are you?","Where is your home?",1
beginnerPhrases-012,phrase,1,"Beginner","Beginner Phrases","wǒ de míngzi shì ___ — 我的名字是___","My name is ___",beginner|phrase,"My name is ___","Your name is ___","This is my name","I know your name",1
beginnerPhrases-013,phrase,1,"Beginner","Beginner Phrases","hǎo de, xièxie — 好的，谢谢","Okay, thank you",beginner|phrase,"Okay, thank you","Yes, please","No problem","You're welcome",1
fundamentals1-001,vocab,1,"Fundamentals","Fundamentals 1","hāi — 嗨","hi",beginner,"hi","hello","welcome","goodbye",1
fundamentals1-003,vocab,1,"Fundamentals","Fundamentals 1","zàijiàn — 再见","goodbye",beginner,"goodbye","see you","welcome","hi",1
fundamentals1-004,vocab,1,"Fundamentals","Fundamentals 1","huānyíng — 欢迎","welcome",beginner,"welcome","please","thank you","hello",1
fundamentals1-005,vocab,1,"Fundamentals","Fundamentals 1","rén — 人","person / people",beginner,"person / people","someone","home","name",1
fundamentals1-006,vocab,1,"Fundamentals","Fundamentals 1","mǒurén — 某人","someone",beginner,"someone","everyone","people","person",1
fundamentals1-007,vocab,1,"Fundamentals","Fundamentals 1","tā — 他 / 她","he / she",beginner,"he / she","they","it","someone",1
fundamentals1-009,vocab,1,"Fundamentals","Fundamentals 1","hi","hāi — 嗨",beginner|reverse,"hāi — 嗨","zàijiàn — 再见","huānyíng — 欢迎","xièxie — 谢谢",1
fundamentals1-011,vocab,1,"Fundamentals","Fundamentals 1","goodbye","zàijiàn — 再见",beginner|reverse,"zàijiàn — 再见","huānyíng — 欢迎","hāi — 嗨","xièxie — 谢谢",1
fundamentals1-012,vocab,1,"Fundamentals","Fundamentals 1","welcome","huānyíng — 欢迎",beginner|reverse,"huānyíng — 欢迎","zàijiàn — 再见","hāi — 嗨","qǐng — 请",1
fundamentals1-013,vocab,1,"Fundamentals","Fundamentals 1","people","rén — 人",beginner|reverse,"rén — 人","mǒurén — 某人","jiā — 家","péngyou — 朋友",1
fundamentals1-014,vocab,1,"Fundamentals","Fundamentals 1","someone","mǒurén — 某人",beginner|reverse,"mǒurén — 某人","rén — 人","nǐ — 你","tā — 他",1
fundamentals1-015,vocab,1,"Fundamentals","Fundamentals 1","he / she","tā — 他 / 她",beginner|reverse,"tā — 他 / 她","tāmen — 他们","wǒ — 我","rén — 人",1
fundamentals2-001,vocab,1,"Fundamentals","Fundamentals 2","wǒmen — 我们","we",beginner,"we","they","our","us",1
fundamentals2-002,vocab,1,"Fundamentals","Fundamentals 2","tā de — 他的 / 她的","his / her",beginner,"his / her","their","he / she","someone’s",1
fundamentals2-003,vocab,1,"Fundamentals","Fundamentals 2","tāmen — 他们","they",beginner,"they","we","people","them",1
fundamentals2-004,vocab,1,"Fundamentals","Fundamentals 2","wǒmen de — 我们的","our",beginner,"our","we","their","us",1
fundamentals2-005,vocab,1,"Fundamentals","Fundamentals 2","tāmen de — 他们的","their",beginner,"their","they","his / her","our",1
fundamentals2-006,vocab,1,"Fundamentals","Fundamentals 2","zhè — 这","this",beginner,"this","that","here","it",1
fundamentals2-007,vocab,1,"Fundamentals","Fundamentals 2","nà — 那","that",beginner,"that","this","there","it",1
fundamentals2-008,vocab,1,"Fundamentals","Fundamentals 2","we","wǒmen — 我们",beginner|reverse,"wǒmen — 我们","tāmen — 他们","wǒ — 我","rén — 人",1
fundamentals2-009,vocab,1,"Fundamentals","Fundamentals 2","his / her","tā de — 他的 / 她的",beginner|reverse,"tā de — 他的 / 她的","tāmen de — 他们的","wǒmen de — 我们的","tā — 他 / 她",1
fundamentals2-010,vocab,1,"Fundamentals","Fundamentals 2","they","tāmen — 他们",beginner|reverse,"tāmen — 他们","wǒmen — 我们","tā — 他 / 她","rén — 人",1
fundamentals2-011,vocab,1,"Fundamentals","Fundamentals 2","our","wǒmen de — 我们的",beginner|reverse,"wǒmen de — 我们的","tāmen de — 他们的","wǒmen — 我们","wǒ de — 我的",1
fundamentals2-012,vocab,1,"Fundamentals","Fundamentals 2","their","tāmen de — 他们的",beginner|reverse,"tāmen de — 他们的","tā de — 他的 / 她的","wǒmen de — 我们的","tā — 他 / 她",1
fundamentals2-013,vocab,1,"Fundamentals","Fundamentals 2","this","zhè — 这",beginner|reverse,"zhè — 这","nà — 那","zài — 在","tā — 它",1
fundamentals2-014,vocab,1,"Fundamentals","Fundamentals 2","that","nà — 那",beginner|reverse,"nà — 那","zhè — 这","zài — 在","tā — 它",1
fundamentals3-001,vocab,1,"Fundamentals","Fundamentals 3","rén — 人","person / people",beginner,"person / people","family","place","work",1
fundamentals3-002,vocab,1,"Fundamentals","Fundamentals 3","dōngxi — 东西","thing / stuff",beginner,"thing / stuff","place","time","school",1
fundamentals3-003,vocab,1,"Fundamentals","Fundamentals 3","dìfang — 地方","place",beginner,"place","home","school","day",1
fundamentals3-004,vocab,1,"Fundamentals","Fundamentals 3","shíjiān — 时间","time",beginner,"time","day","work","place",1
fundamentals3-005,vocab,1,"Fundamentals","Fundamentals 3","tiān — 天","day",beginner,"day","time","place","home",1
fundamentals3-006,vocab,1,"Fundamentals","Fundamentals 3","jiā — 家","home / family",beginner,"home / family","person","school","work",1
fundamentals3-007,vocab,1,"Fundamentals","Fundamentals 3","gōngzuò — 工作","work / job",beginner,"work / job","school","time","place",1
fundamentals3-008,vocab,1,"Fundamentals","Fundamentals 3","xuéxiào — 学校","school",beginner,"school","home","place","work",1
fundamentals3-009,vocab,1,"Fundamentals","Fundamentals 3","person / people","rén — 人",beginner|reverse,"rén — 人","jiā — 家","dōngxi — 东西","dìfang — 地方",1
fundamentals3-010,vocab,1,"Fundamentals","Fundamentals 3","thing / stuff","dōngxi — 东西",beginner|reverse,"dōngxi — 东西","shíjiān — 时间","xuéxiào — 学校","gōngzuò — 工作",1
fundamentals3-011,vocab,1,"Fundamentals","Fundamentals 3","place","dìfang — 地方",beginner|reverse,"dìfang — 地方","jiā — 家","xuéxiào — 学校","tiān — 天",1
fundamentals3-012,vocab,1,"Fundamentals","Fundamentals 3","time","shíjiān — 时间",beginner|reverse,"shíjiān — 时间","tiān — 天","gōngzuò — 工作","dìfang — 地方",1
fundamentals3-013,vocab,1,"Fundamentals","Fundamentals 3","day","tiān — 天",beginner|reverse,"tiān — 天","shíjiān — 时间","rén — 人","jiā — 家",1
fundamentals3-014,vocab,1,"Fundamentals","Fundamentals 3","home / family","jiā — 家",beginner|reverse,"jiā — 家","xuéxiào — 学校","gōngzuò — 工作","dìfang — 地方",1
fundamentals3-015,vocab,1,"Fundamentals","Fundamentals 3","work / job","gōngzuò — 工作",beginner|reverse,"gōngzuò — 工作","xuéxiào — 学校","rén — 人","tiān — 天",1
fundamentals3-016,vocab,1,"Fundamentals","Fundamentals 3","school","xuéxiào — 学校",beginner|reverse,"xuéxiào — 学校","jiā — 家","dìfang — 地方","shíjiān — 时间",1
family-001,vocab,1,"Fundamentals","Family","mā — 妈","mom / mother",beginner,"mom / mother","dad","sister","family",1
family-002,vocab,1,"Fundamentals","Family","bà — 爸","dad / father",beginner,"dad / father","mom","brother","parent",1
family-003,vocab,1,"Fundamentals","Family","fùmǔ — 父母","parents",beginner,"parents","family","children","relatives",1
family-004,vocab,1,"Fundamentals","Family","jiā — 家","family / home",beginner,"family / home","house","parents","children",1
family-005,vocab,1,"Fundamentals","Family","háizi — 孩子","child / children",beginner,"child / children","son","daughter","family",1
family-006,vocab,1,"Fundamentals","Family","gēge — 哥哥","older brother",beginner,"older brother","younger brother","older sister","cousin",1
family-007,vocab,1,"Fundamentals","Family","dìdi — 弟弟","younger brother",beginner,"younger brother","older brother","younger sister","son",1
family-008,vocab,1,"Fundamentals","Family","jiějie — 姐姐","older sister",beginner,"older sister","younger sister","older brother","aunt",1
family-009,vocab,1,"Fundamentals","Family","mèimei — 妹妹","younger sister",beginner,"younger sister","older sister","daughter","cousin",1
family-010,vocab,1,"Fundamentals","Family","mom / mother","mā — 妈",beginner|reverse,"mā — 妈","bà — 爸","jiějie — 姐姐","háizi — 孩子",1
family-011,vocab,1,"Fundamentals","Family","dad / father","bà — 爸",beginner|reverse,"bà — 爸","mā — 妈","gēge — 哥哥","fùmǔ — 父母",1
family-012,vocab,1,"Fundamentals","Family","parents","fùmǔ — 父母",beginner|reverse,"fùmǔ — 父母","jiā — 家","háizi — 孩子","gēge — 哥哥",1
family-013,vocab,1,"Fundamentals","Family","family / home","jiā — 家",beginner|reverse,"jiā — 家","fùmǔ — 父母","xuéxiào — 学校","gōngzuò — 工作",1
family-014,vocab,1,"Fundamentals","Family","child / children","háizi — 孩子",beginner|reverse,"háizi — 孩子","dìdi — 弟弟","mèimei — 妹妹","fùmǔ — 父母",1
family-015,vocab,1,"Fundamentals","Family","older brother","gēge — 哥哥",beginner|reverse,"gēge — 哥哥","dìdi — 弟弟","jiějie — 姐姐","bà — 爸",1
family-016,vocab,1,"Fundamentals","Family","younger brother","dìdi — 弟弟",beginner|reverse,"dìdi — 弟弟","gēge — 哥哥","mèimei — 妹妹","háizi — 孩子",1
family-017,vocab,1,"Fundamentals","Family","older sister","jiějie — 姐姐",beginner|reverse,"jiějie — 姐姐","mèimei — 妹妹","gēge — 哥哥","mā — 妈",1
family-018,vocab,1,"Fundamentals","Family","younger sister","mèimei — 妹妹",beginner|reverse,"mèimei — 妹妹","jiějie — 姐姐","dìdi — 弟弟","háizi — 孩子",1
core1-001,vocab,1,"Core","Core 1","qù — 去","go",beginner,"go","come","see / look","use / make",1
core1-002,vocab,1,"Core","Core 1","lái — 来","come",beginner,"come","go","need / want","say / speak",1
core1-003,vocab,1,"Core","Core 1","kàn — 看","see / look",beginner,"see / look","think / want","say / speak","use / make",1
core1-004,vocab,1,"Core","Core 1","xūyào — 需要","need",beginner,"need","want","use / make","help / assist",1
core1-005,vocab,1,"Core","Core 1","zuò — 做","do / make",beginner,"do / make","work / job","use / apply","give / hand",1
core1-006,vocab,1,"Core","Core 1","yòng — 用","use",beginner,"use","make / do","take / hold","give / pass",1
core1-007,vocab,1,"Core","Core 1","shuō — 说","say / speak",beginner,"say / speak","think / plan","ask / question","tell / explain",1
core1-008,vocab,1,"Core","Core 1","xiǎng — 想","think / want",beginner,"think / want","know / understand","need / require","see / look",1
core1-009,vocab,1,"Core","Core 1","go","qù — 去",beginner|reverse,"qù — 去","lái — 来","kàn — 看","zuò — 做",1
core1-010,vocab,1,"Core","Core 1","come","lái — 来",beginner|reverse,"lái — 来","qù — 去","shuō — 说","yòng — 用",1
core1-011,vocab,1,"Core","Core 1","see / look","kàn — 看",beginner|reverse,"kàn — 看","xiǎng — 想","shuō — 说","yòng — 用",1
core1-012,vocab,1,"Core","Core 1","need","xūyào — 需要",beginner|reverse,"xūyào — 需要","xiǎng — 想","yòng — 用","bāngmáng — 帮忙",1
core1-013,vocab,1,"Core","Core 1","do / make","zuò — 做",beginner|reverse,"zuò — 做","gōngzuò — 工作","yòng — 用","gěi — 给",1
core1-014,vocab,1,"Core","Core 1","use","yòng — 用",beginner|reverse,"yòng — 用","ná — 拿","zuò — 做","gěi — 给",1
core1-015,vocab,1,"Core","Core 1","say / speak","shuō — 说",beginner|reverse,"shuō — 说","xiǎng — 想","wèn — 问","kàn — 看",1
core1-016,vocab,1,"Core","Core 1","think / want","xiǎng — 想",beginner|reverse,"xiǎng — 想","zhīdào — 知道","xūyào — 需要","kàn — 看",1
core2-001,vocab,1,"Core","Core 2","shénme shíhou — 什么时候","when",beginner,"when","why","how many / how much","which one",1
core2-002,vocab,1,"Core","Core 2","wèishénme — 为什么","why",beginner,"why","when","how / why not","which one",1
core2-003,vocab,1,"Core","Core 2","nǎge — 哪个","which",beginner,"which","where","which one / that one","how many",1
core2-004,vocab,1,"Core","Core 2","duōshǎo — 多少","how many / how much",beginner,"how many / how much","how long / how often","which one / how many","when / already",1
core2-005,vocab,1,"Core","Core 2","hái — 还","also / still",beginner,"also / still","again / already","only / just","now / later",1
core2-006,vocab,1,"Core","Core 2","zhǐ — 只","only",beginner,"only","still / also","just / only one","again / once more",1
core2-007,vocab,1,"Core","Core 2","zài — 再","again",beginner,"again","already","again / still","now / then",1
core2-008,vocab,1,"Core","Core 2","yǐjīng — 已经","already",beginner,"already","again","still / already","before / after",1
core2-009,vocab,1,"Core","Core 2","when","shénme shíhou — 什么时候",beginner|reverse,"shénme shíhou — 什么时候","wèishénme — 为什么","duōshǎo — 多少","nǎge — 哪个",1
core2-010,vocab,1,"Core","Core 2","why","wèishénme — 为什么",beginner|reverse,"wèishénme — 为什么","shénme shíhou — 什么时候","nǎge — 哪个","zài — 再",1
core2-011,vocab,1,"Core","Core 2","which","nǎge — 哪个",beginner|reverse,"nǎge — 哪个","duōshǎo — 多少","shénme shíhou — 什么时候","hái — 还",1
core2-012,vocab,1,"Core","Core 2","how many / how much","duōshǎo — 多少",beginner|reverse,"duōshǎo — 多少","nǎge — 哪个","yǐjīng — 已经","zài — 再",1
core2-013,vocab,1,"Core","Core 2","also / still","hái — 还",beginner|reverse,"hái — 还","zài — 再","yǐjīng — 已经","zhǐ — 只",1
core2-014,vocab,1,"Core","Core 2","only","zhǐ — 只",beginner|reverse,"zhǐ — 只","hái — 还","zài — 再","yǐjīng — 已经",1
core2-015,vocab,1,"Core","Core 2","again","zài — 再",beginner|reverse,"zài — 再","hái — 还","yǐjīng — 已经","zhǐ — 只",1
core2-016,vocab,1,"Core","Core 2","already","yǐjīng — 已经",beginner|reverse,"yǐjīng — 已经","zài — 再","hái — 还","zhǐ — 只",1
core3-001,vocab,1,"Core","Core 3","shì — 是","be / is / are / am",beginner,"be / is / are / am","have / there is","do / make","find / look for",1
core3-002,vocab,1,"Core","Core 3","yǒu — 有","have / there is",beginner,"have / there is","be / is / are / am","live / stay","take / hold",1
core3-003,vocab,1,"Core","Core 3","zuò — 做","do / make",beginner,"do / make","use / make","give / to","say / speak",1
core3-004,vocab,1,"Core","Core 3","gěi — 给","give / to",beginner,"give / to","take / hold","find / look for","help / help out",1
core3-005,vocab,1,"Core","Core 3","ná — 拿","take / hold",beginner,"take / hold","give / to","go / come","do / make",1
